,end_time,key,sound,start_time,reaction_time
65,271.7316834999947,l,sounds\LF\woei.wav,269.8457919000648,1.8858915999298915
66,274.9385735000251,a,sounds\none\fankel.wav,274.7497309000464,0.18884259997867048
67,282.2677254000446,,sounds\HF\zit.wav,277.9550390000222,4.312686400022358
68,285.3322589000454,l,sounds\HF\hen.wav,285.2838125000708,0.048446399974636734
69,292.66299119999167,,sounds\HF\hard.wav,288.3515028000111,4.31148839998059
70,295.7291971000377,a,sounds\none\knaarde.wav,295.68213930004276,0.047057799994945526
71,299.02322990004905,l,sounds\LF\topaas.wav,298.74687080003787,0.27635910001117736
72,302.38422270002775,a,sounds\none\goont.wav,302.03968200006057,0.3445406999671832
73,305.74653290002607,l,sounds\LF\sfinxen.wav,305.4021453000605,0.34438759996555746
74,308.772498400067,a,sounds\LF\sjalot.wav,308.76438870001584,0.008109700051136315
